skill,model,mean_completion_tokens,sd_completion_tokens,mean_pass_rate,sd_pass_rate,n_cases
build,claude-haiku-4.5,774.0,177.4,1.0000,0.0000,10
build,claude-opus-4.8,1173.3,148.4,1.0000,0.0000,10
build,claude-sonnet-4.6,990.6,176.2,1.0000,0.0000,10
build,gemini-2.5-flash,270.4,113.1,1.0000,0.0000,10
build,gemini-2.5-pro,250.8,53.6,1.0000,0.0000,10
build,gpt-4.1-nano,260.2,58.4,0.8400,0.2633,10
build,gpt-4o,205.2,32.1,1.0000,0.0000,10
build,gpt-5.5,559.3,106.0,1.0000,0.0000,10
build,o3,986.5,153.8,0.9800,0.0632,10
build,o4-mini,2445.5,328.7,0.9800,0.0632,10
conformational-analysis,claude-haiku-4.5,1291.3,204.6,1.0000,0.0000,8
conformational-analysis,claude-opus-4.8,1491.7,160.0,1.0000,0.0000,8
conformational-analysis,claude-sonnet-4.6,2017.1,215.5,0.9250,0.2121,8
conformational-analysis,gemini-2.5-flash,286.6,70.2,0.9500,0.1414,8
conformational-analysis,gemini-2.5-pro,335.5,53.1,0.9000,0.2828,8
conformational-analysis,gpt-4.1-nano,287.6,49.4,0.5000,0.2828,8
conformational-analysis,gpt-4o,233.6,27.1,1.0000,0.0000,8
conformational-analysis,gpt-5.5,1009.4,141.6,1.0000,0.0000,8
conformational-analysis,o3,1700.2,330.9,1.0000,0.0000,8
conformational-analysis,o4-mini,3302.0,334.0,1.0000,0.0000,8
conformer-search,claude-haiku-4.5,1296.7,150.1,0.8222,0.0667,9
conformer-search,claude-opus-4.8,1735.8,91.3,1.0000,0.0000,9
conformer-search,claude-sonnet-4.6,1923.7,143.1,1.0000,0.0000,9
conformer-search,gemini-2.5-flash,395.1,65.1,1.0000,0.0000,9
conformer-search,gemini-2.5-pro,353.8,80.3,1.0000,0.0000,9
conformer-search,gpt-4.1-nano,357.5,42.3,0.9556,0.0882,9
conformer-search,gpt-4o,305.0,25.2,1.0000,0.0000,9
conformer-search,gpt-5.5,1269.1,89.2,1.0000,0.0000,9
conformer-search,o3,2236.3,410.3,1.0000,0.0000,9
conformer-search,o4-mini,3876.9,470.1,1.0000,0.0000,9
electrostatics,claude-haiku-4.5,767.2,56.2,1.0000,0.0000,9
electrostatics,claude-opus-4.8,1063.8,39.8,1.0000,0.0000,9
electrostatics,claude-sonnet-4.6,1104.9,40.6,1.0000,0.0000,9
electrostatics,gemini-2.5-flash,312.4,42.3,1.0000,0.0000,9
electrostatics,gemini-2.5-pro,129.5,19.5,1.0000,0.0000,9
electrostatics,gpt-4.1-nano,153.5,22.1,0.9778,0.0667,9
electrostatics,gpt-4o,234.4,18.3,1.0000,0.0000,9
electrostatics,gpt-5.5,689.9,25.4,1.0000,0.0000,9
electrostatics,o3,1182.0,184.2,1.0000,0.0000,9
electrostatics,o4-mini,2789.3,449.3,1.0000,0.0000,9
frontier-orbitals,claude-haiku-4.5,1243.1,67.9,1.0000,0.0000,9
frontier-orbitals,claude-opus-4.8,1470.4,81.5,1.0000,0.0000,9
frontier-orbitals,claude-sonnet-4.6,1828.4,91.8,1.0000,0.0000,9
